,percent_time_idle,hourly_wage
343,8.90815540343,56.7056910798
344,9.84778376998,59.1623188629
345,9.4596408131,57.5673081399
346,10.9489051095,66.8621394412
347,25.7965355377,42.6124474837
350,64.1791044776,22.9497992795
352,8.82584712372,66.3961150124
353,38.4051569774,33.2096010011
357,58.4808594341,24.1494200698
359,19.7599914772,53.5370191354
362,26.3726191931,44.704528492
363,40.753046254,39.5948791818
364,20.5559114879,48.1034125882
365,7.66763766736,51.87438741
366,37.3458602466,38.6311303858
370,13.1931829592,52.8399201617
374,70.2290076336,22.8732824427
375,15.0097465887,50.9165396249
380,13.8030888031,56.0826973772
384,12.8078636109,54.0049797241
385,9.50269580023,60.2140188951
390,71.4285714286,29.6482758621
391,14.7764716197,52.2361363429
393,14.1876830281,56.618865968
395,36.1757105943,41.8852713178
396,69.0721649485,18.5349448987
397,13.490055006,47.0599567135
399,26.4364290511,45.1814874961
405,10.6028311751,52.5196404452
406,11.5170770453,51.6447087179
410,75.2382456695,16.7681959052
413,5.09857997479,60.2227824099
415,11.8767136813,50.2948277041
417,11.9032696125,49.9584694021
419,19.4699581732,46.8648054449
426,29.7886393659,44.2443055619
427,16.1885245902,51.2921989825
434,12.3853211009,52.1914771035
438,7.36439934862,52.523702523
441,60.6807070327,32.5513091517
442,21.8513508982,45.4882348338
445,16.8722106319,98.6097147639
449,18.5535384098,49.6002312762
452,18.7346221441,51.1269377613
454,29.2474824792,44.6632152106
455,32.7547169811,41.701556799
457,27.6850721295,43.8962569997
460,11.1532082207,57.3719209956
461,45.8923512748,25.7548109798
462,55.5205047319,24.2714587186
468,33.125,44.5701206897
472,10.6253696038,55.3516976284
474,10.680104118,57.6630673384
476,37.6441102757,39.4324003111
477,19.2158760891,52.5572961244
482,22.8647686833,77.1510614799
487,25.1552795031,46.307946027
488,32.3308270677,32.7039045891
489,31.875605704,39.788866504
490,7.47369208688,60.137725558
494,59.1379310345,27.1310653983
496,10.2476444593,50.7501387304
501,55.4465493911,27.3225276469
502,13.2175562339,89.7826307781
503,13.5127187178,49.3331913664
506,35.325721961,35.2235279405
507,23.0642504119,42.1431028802
508,17.8590592023,46.3076372742
511,10.456796918,56.9727242708
516,50.807860262,31.4165185966
517,35.5425327832,42.2943897667
518,52.7090549233,28.717261854
519,34.1584158416,48.0918948447
522,5.21659660026,54.5742882534
525,93.0362116992,10.5662966368
526,6.93548616747,56.8423155045
529,30.2532375116,41.2637321232
533,40.2640264026,35.333731649
537,12.1424562918,50.8204559494
539,45.4889589905,36.6608341129
540,39.5348837209,52.2289655172
543,59.6974370272,23.3894751236
544,14.392176458,53.0276497129
546,8.33059249166,53.1632744652
547,41.0112359551,44.8098295234
